_empty_0,No,Reksadana,Bloomberg Quote,Manajer Investasi,Bank Kustodian,Jenis,Kategori,Mata Uang,Dividen,NAB,1 Hari,1 Minggu,MtD,1 Bulan,3 Bulan,6 Bulan,YtD,1 Tahun,3 Tahun,5 Tahun,10 Tahun,Inception,Annualized Return - 1 Thn (%),Annualized Return - 3 Thn (%),Annualized Return - 5 Thn (%),Annualized Return - 10 Thn (%),St. Deviation - 1 Thn (%),St. Deviation - 3 Thn (%),St. Deviation - 5 Thn (%),St. Deviation - 10 Thn (%),Beta - 1 Thn,Beta - 3 Thn,Beta - 5 Thn,Beta - 10 Thn,Sharpe Ratio - 1 Thn,Sharpe Ratio - 3 Thn,Sharpe Ratio - 5 Thn,Sharpe Ratio - 10 Thn,Treynor Ratio - 1 Thn,Treynor Ratio - 3 Thn,Treynor Ratio - 5 Thn,Treynor Ratio - 10 Thn,Jensen Alpha - 1 Thn,Jensen Alpha - 3 Thn,Jensen Alpha - 5 Thn,Jensen Alpha - 10 Thn,Sortino Ratio - 1 Thn,Sortino Ratio - 3 Thn,Sortino Ratio - 5 Thn,Sortino Ratio - 10 Thn,Tracking Error - 1 Thn (%),Tracking Error - 3 Thn (%),Tracking Error - 5 Thn (%),Tracking Error - 10 Thn (%),Max Drawdown - 1 Thn (%),Max Drawdown - 3 Thn (%),Max Drawdown - 5 Thn (%),Max Drawdown - 10 Thn (%),Sharpe Ratio Performance,Sharpe Ratio Performance 1 Thn,Sharpe Ratio Performance 3 Thn,Sharpe Ratio Performance 5 Thn,Sharpe Ratio Performance 10 Thn,Dana Kelolaan,Unit Penyertaan,Tanggal Peluncuran,Last Update Dana Kelolaan,Expense Ratio (Tahun),Investment Manager Fee,Minimum Subscription,Last Update Fund Fact Sheet,Last Update Portfolio,Last Update,Div NAB,Div 1 Hari,Div 1 Minggu,Div MtD,Div 1 Bulan,Div 3 Bulan,Div 6 Bulan,Div YtD,Div 1 Tahun,Div 3 Tahun,Div 5 Tahun,Div 10 Tahun,Div Inception,Accumulated Div NAB,Accumulated Div 1 Hari (%),Accumulated Div 1 Minggu (%),Accumulated Div MtD (%),Accumulated Div 1 Bulan (%),Accumulated Div 3 Bulan (%),Accumulated Div 6 Bulan (%),Accumulated Div YtD (%),Accumulated Div 1 Tahun (%),Accumulated Div 3 Tahun (%),Accumulated Div 5 Tahun (%),Accumulated Div 10 Tahun (%),Accumulated Div Inception (%),scraped_at,page_number
,1,ABF INDONESIA BOND INDEX FUND,,"Bahana TCW Investment Management, PT",PT Bank HSBC Indonesia,Pendapatan Tetap,"ETF, Index",IDR,Tidak,"59.978,2626","-0,03%","-0,15%","0,09%","0,60%","1,33%","5,42%","0,09%","11,94%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.090.220.580.463,00","135.001.841,31",25-Mei-2005,Des-2025,,Maks 0.30%,Rp 1.000.000,27-Nov-2025,28-Nov-2025,13-Jan-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-01-14T09:12:13.215909,1
,2,ALLIANZ ALPHA SECTOR ROTATION KELAS A,,"Allianz Global Investors Asset Management Indonesia, PT",DEUTSCHE BANK A. G. - CUSTODY,Saham,Konvensional,IDR,Tidak,"1.574,0300","1,08%","0,79%","3,66%","4,12%","8,13%","11,37%","3,66%","8,91%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113.563.721.494,59","74.790.492,65",18-Agt-2010,Des-2025,,Maks 3.00%,Rp. 100.000,27-Nov-2025,28-Nov-2025,13-Jan-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-01-14T09:12:13.215930,1
,3,ALLIANZ ALPHA SECTOR ROTATION KELAS B1,,"Allianz Global Investors Asset Management Indonesia, PT",DEUTSCHE BANK A. G. - CUSTODY,Saham,Konvensional,IDR,Tidak,"1.626,5100","1,09%","0,85%","3,79%","4,41%","9,00%","13,22%","3,79%","12,48%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79.489.668.337,79","50.723.204,43",,Des-2025,,,,,,13-Jan-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-01-14T09:12:13.215940,1
,4,ALLIANZ CAPITAL PROTECTED FUND 50,,"Allianz Global Investors Asset Management Indonesia, PT","Bank Rakyat Indonesia, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.010,3964","0,02%","0,12%","0,25%","0,57%","-0,85%","0,78%","0,25%","1,47%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104.025.747.079,00","103.210.000,00",,Des-2025,,,,,,13-Jan-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-01-14T09:12:13.215951,1
,5,ALLIANZ CAPITAL PROTECTED FUND 53,,"Allianz Global Investors Asset Management Indonesia, PT","BANK DBS INDONESIA - CUSTODY, PT",Terproteksi,Konvensional,IDR,Tidak,"999,9800","0,02%","0,14%","0,27%","-2,62%","-1,51%","0,29%","0,27%","0,48%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"149.587.468.631,00","150.000.000,00",,Des-2025,,,,,,13-Jan-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-01-14T09:12:13.215963,1
,6,ALLIANZ CAPITAL PROTECTED FUND 55,,"Allianz Global Investors Asset Management Indonesia, PT","Bank Rakyat Indonesia, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.030,6099","0,01%","0,09%","0,18%","0,42%","-0,54%","0,67%","0,18%","1,25%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"514.372.473.289,31","500.000.000,00",,Des-2025,,,,,,13-Jan-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-01-14T09:12:13.215970,1
,7,ALLIANZ CAPITAL PROTECTED FUND 57,,"Allianz Global Investors Asset Management Indonesia, PT","Bank Rakyat Indonesia, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.014,5437","0,02%","0,12%","0,23%","0,53%","-1,43%","0,11%","0,23%","0,40%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"159.418.477.970,45","157.500.000,00",,Des-2025,,,,,,13-Jan-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-01-14T09:12:13.215976,1
,8,ALLIANZ CAPITAL PROTECTED FUND 58,,"Allianz Global Investors Asset Management Indonesia, PT","Bank Rakyat Indonesia, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.014,2411","0,01%","0,09%","0,18%","0,41%","-1,12%","-0,05%","0,18%","0,06%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"759.324.133.439,60","750.000.000,00",,Des-2025,,,,,,13-Jan-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-01-14T09:12:13.215982,1
,9,ALLIANZ CAPITAL PROTECTED FUND 60,,"Allianz Global Investors Asset Management Indonesia, PT","Bank Permata, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.004,2207","0,02%","0,12%","0,24%","0,55%","-1,26%","0,31%","0,24%","0,52%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200.363.581.588,03","200.000.000,00",,Des-2025,,,,,,13-Jan-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-01-14T09:12:13.215988,1
,10,ALLIANZ CAPITAL PROTECTED FUND 61,,"Allianz Global Investors Asset Management Indonesia, PT","Bank Rakyat Indonesia, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.021,8851","0,02%","0,11%","0,22%","0,51%","1,47%","0,06%","0,22%","-0,14%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"611.806.928.248,15","600.022.000,00",,Des-2025,,,,,,13-Jan-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-01-14T09:12:13.215994,1
,11,ALLIANZ CAPITAL PROTECTED FUND 62,,"Allianz Global Investors Asset Management Indonesia, PT","BANK CENTRAL ASIA - CUSTODY, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.015,5812","0,02%","0,11%","0,22%","0,51%","-1,35%","0,10%","0,22%","0,11%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"507.038.883.088,78","500.361.000,00",,Des-2025,,,,,,13-Jan-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-01-14T09:12:13.216000,1
,12,ALLIANZ CAPITAL PROTECTED FUND 63,,"Allianz Global Investors Asset Management Indonesia, PT","Bank OCBC NISP, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.015,1869","0,02%","0,11%","0,23%","0,53%","-1,43%","0,07%","0,23%","0,05%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"506.440.149.571,85","500.006.750,00",,Des-2025,,,,,,13-Jan-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-01-14T09:12:13.216006,1
,13,ALLIANZ CAPITAL PROTECTED FUND 64,,"Allianz Global Investors Asset Management Indonesia, PT","Bank OCBC NISP, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.014,8153","0,02%","0,11%","0,22%","0,51%","-1,40%","0,07%","0,22%","0,05%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"506.280.192.589,55","500.004.850,00",,Des-2025,,,,,,13-Jan-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-01-14T09:12:13.216012,1
,14,ALLIANZ CAPITAL PROTECTED FUND 65,,"Allianz Global Investors Asset Management Indonesia, PT","BANK CENTRAL ASIA - CUSTODY, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.020,2466","0,02%","0,11%","0,21%","0,49%","1,42%","0,14%","0,21%","0,22%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78.699.882.122,28","77.302.750,00",,Des-2025,,,,,,13-Jan-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-01-14T09:12:13.216018,1
,15,ALLIANZ CAPITAL PROTECTED FUND 67,,"Allianz Global Investors Asset Management Indonesia, PT","Bank OCBC NISP, Tbk, PT",Terproteksi,Konvensional,IDR,Tidak,"1.005,9136","0,01%","0,09%","0,18%","0,40%",-,-,"0,18%",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"425.760.266.750,54","424.003.750,00",,Des-2025,,,,,,13-Jan-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-01-14T09:12:13.216024,1
,16,ALLIANZ FIXED INCOME FUND 2,,"Allianz Global Investors Asset Management Indonesia, PT","Bank Rakyat Indonesia, Tbk, PT",Pendapatan Tetap,Konvensional,IDR,Tidak,"1.740,7912","-0,06%","-0,29%","-0,02%","0,46%","1,22%","5,23%","-0,02%","12,00%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"109.140.913.350,98","62.681.646,79",28-Jun-2016,Des-2025,,Maks 2.00%,Rp. 100.000,27-Nov-2025,28-Nov-2025,13-Jan-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-01-14T09:12:13.216029,1
,17,ALLIANZ HIGH DIVIDEND GLOBAL SHARIA EQUITY DOLLAR KELAS A,,"Allianz Global Investors Asset Management Indonesia, PT",PT Bank HSBC Indonesia,Reksadana Global,"Sharia, ETF",USD,Tidak,"1,336000","0,04%","0,32%","1,57%","2,60%","4,18%","10,13%","1,57%","15,39%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.360.599,93","1.034.708,11",02-Okt-2023,Des-2025,,Maks. 3.00% p.a,USD 10.000,27-Nov-2025,28-Nov-2025,13-Jan-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-01-14T09:12:13.216035,1
,18,ALLIANZ HIGH DIVIDEND GLOBAL SHARIA EQUITY DOLLAR KELAS B1,,"Allianz Global Investors Asset Management Indonesia, PT",PT Bank HSBC Indonesia,Reksadana Global,"Sharia, ETF",USD,Tidak,"1,365200","0,05%","0,37%","1,65%","2,80%","4,74%","11,34%","1,65%","14,75%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.576.393,53","6.388.200,00",,Des-2025,,,,,,13-Jan-2026,,-,-,-,-,-,-,-,-,,,,,,-,-,-,-,-,-,-,-,,,,,2026-01-14T09:12:13.216041,1
